179.99.200.39 -  -  [28/Aug/2016:22:01:09 +0000] "GET http://www.teddybrinkofski.com/ip_json.php HTTP/1.1" 404 1410 
128.61.45.138 -  -  [28/Aug/2016:22:37:07 +0000] "GET /app HTTP/1.1" 404 1386 
128.61.45.138 -  -  [28/Aug/2016:22:37:07 +0000] "GET /favicon.ico HTTP/1.1" 404 1410 
128.61.45.138 -  -  [28/Aug/2016:22:37:18 +0000] "GET /openhab HTTP/1.1" 404 1398 
128.61.45.138 -  -  [28/Aug/2016:22:37:22 +0000] "GET / HTTP/1.1" 302 0 
128.61.45.138 -  -  [28/Aug/2016:22:37:22 +0000] "GET /static/index.html HTTP/1.1" 200 656 
128.61.45.138 -  -  [28/Aug/2016:22:37:22 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
128.61.45.138 -  -  [28/Aug/2016:22:38:14 +0000] "GET /openhab.app?sitemap=demo HTTP/1.1" 500 3902 
128.61.45.138 -  -  [28/Aug/2016:22:40:33 +0000] "GET /openhab HTTP/1.1" 404 1398 
128.61.45.138 -  -  [28/Aug/2016:22:40:39 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
128.61.45.138 -  -  [28/Aug/2016:22:40:46 +0000] "GET /default HTTP/1.1" 404 1398 
128.61.45.138 -  -  [28/Aug/2016:22:40:57 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
128.61.45.138 -  -  [28/Aug/2016:22:51:49 +0000] "GET / HTTP/1.1" 302 0 
128.61.45.138 -  -  [28/Aug/2016:22:51:49 +0000] "GET /static/index.html HTTP/1.1" 304 0 
128.61.45.138 -  -  [28/Aug/2016:22:51:49 +0000] "GET /openhab.app HTTP/1.1" 500 3911 
128.61.45.138 -  -  [28/Aug/2016:22:51:59 +0000] "GET /start/index.html HTTP/1.1" 404 1425 
130.207.226.67 -  -  [28/Aug/2016:22:54:44 +0000] "GET / HTTP/1.1" 302 0 
130.207.226.67 -  -  [28/Aug/2016:22:54:44 +0000] "GET /static/index.html HTTP/1.1" 200 656 
130.207.226.67 -  -  [28/Aug/2016:22:54:44 +0000] "GET /openhab.app HTTP/1.1" 404 1410 
